Algorithm,N,k,Alphabet Size,Total Time,Preprocessing Time
0,100000,100,256,0.001141,0.000571
0,100000,1000,256,0.019221,0.000698
0,100000,10000,256,1.089079,0.000485
0,1000000,100,256,0.007326,0.006574
0,1000000,1000,256,0.034653,0.005904
0,1000000,10000,256,1.459002,0.005334
0,1000000,100000,256,92.037935,0.004896
0,10000000,100,256,0.073189,0.072067
0,10000000,1000,256,0.093299,0.073653
0,10000000,10000,256,1.524492,0.070092
0,10000000,100000,256,172.900860,0.074423
0,100000000,100,256,1.548998,1.383285
0,100000000,1000,256,error,error
0,100000000,10000,256,error,error
0,100000000,100000,256,error,error
1,100000,100,256,0.001551,0.000199
1,100000,1000,256,0.020793,0.000154
1,100000,10000,256,0.963473,0.000164
1,1000000,100,256,0.004304,0.001762
1,1000000,1000,256,0.024634,0.001392
1,1000000,10000,256,1.401276,0.001724
1,1000000,100000,256,92.219363,0.001628
1,10000000,100,256,0.022569,0.020526
1,10000000,1000,256,0.052853,0.019854
1,10000000,10000,256,1.486280,0.019526
1,10000000,100000,256,182.361449,0.021475
1,100000000,100,256,0.500611,0.406764
1,100000000,1000,256,0.541779,0.412740
1,100000000,10000,256,2.311397,0.413579
1,100000000,100000,256,null,null
2,100000,100,256,0.196585,0.196052
2,100000,1000,256,0.137185,0.120354
2,100000,10000,256,1.227371,0.047552
2,1000000,100,256,2.959263,2.958146
2,1000000,1000,256,2.075947,2.056211
2,1000000,10000,256,2.625941,1.221358
2,1000000,100000,256,115.220655,0.515531
2,10000000,100,256,45.946772,45.934939
2,10000000,1000,256,35.608389,35.578704
2,10000000,10000,256,26.939109,25.329379
2,10000000,100000,256,207.252290,14.533847
2,100000000,100,256,null,null
2,100000000,1000,256,null,null
2,100000000,10000,256,null,null
2,100000000,100000,256,null,null
3,100000,100,256,0.001057,0.000501
3,100000,1000,256,0.021927,0.001701
3,100000,10000,256,0.719076,0.000661
3,1000000,100,256,0.008423,0.007539
3,1000000,1000,256,0.021755,0.006036
3,1000000,10000,256,0.830640,0.007221
3,1000000,100000,256,53.050771,0.005998
3,10000000,100,256,0.089364,0.088246
3,10000000,1000,256,0.104466,0.087351
3,10000000,10000,256,0.929688,0.090311
3,10000000,100000,256,90.972522,0.084800
3,100000000,100,256,2.486374,2.227321
3,100000000,1000,256,error,error
3,100000000,10000,256,error,error
3,100000000,100000,256,error,error
4,100000,100,256,0.001656,0.000387
4,100000,1000,256,0.017632,0.000229
4,100000,10000,256,0.604566,0.000428
4,1000000,100,256,0.006185,0.003317
4,1000000,1000,256,0.030503,0.003636
4,1000000,10000,256,0.737588,0.002565
4,1000000,100000,256,49.072507,0.002405
4,10000000,100,256,0.036669,0.034583
4,10000000,1000,256,0.064662,0.032758
4,10000000,10000,256,0.938475,0.034900
4,10000000,100000,256,93.159521,0.032947
4,100000000,100,256,0.885000,0.714442
4,100000000,1000,256,0.907576,0.705239
4,100000000,10000,256,1.909688,0.733780
4,100000000,100000,256,160.917935,0.675215
5,100000,100,256,0.441334,0.440943
5,100000,1000,256,0.249955,0.237311
5,100000,10000,256,0.709851,0.093124
5,1000000,100,256,5.955927,5.955527
5,1000000,1000,256,4.183013,4.169869
5,1000000,10000,256,3.165473,2.403216
5,1000000,100000,256,58.238044,1.035084
5,10000000,100,256,91.557947,91.557443
5,10000000,1000,256,71.189151,71.175730
5,10000000,10000,256,51.601826,50.688041
5,10000000,100000,256,126.958624,28.981397
5,100000000,100,256,null,null
5,100000000,1000,256,null,null
5,100000000,10000,256,null,null
5,100000000,100000,256,null,null
6,100000,100,256,0.000755,0.000474
6,100000,1000,256,0.013383,0.000521
6,100000,10000,256,0.958616,0.000772
6,1000000,100,256,0.010873,0.010274
6,1000000,1000,256,0.022473,0.007770
6,1000000,10000,256,1.423196,0.007621
6,1000000,100000,256,83.491042,0.007370
6,10000000,100,256,0.100089,0.099399
6,10000000,1000,256,0.114709,0.097910
6,10000000,10000,256,1.612257,0.094045
6,10000000,100000,256,234.184964,0.095202
6,100000000,100,256,2.790186,2.519782
6,100000000,1000,256,error,error
6,100000000,10000,256,error,error
6,100000000,100000,256,error,error
7,100000,100,256,0.001347,0.000391
7,100000,1000,256,0.020010,0.000424
7,100000,10000,256,0.819714,0.000462
7,1000000,100,256,0.004508,0.003459
7,1000000,1000,256,0.021634,0.002845
7,1000000,10000,256,1.519369,0.002709
7,1000000,100000,256,85.595034,0.002716
7,10000000,100,256,0.038488,0.036904
7,10000000,1000,256,0.061314,0.037043
7,10000000,10000,256,1.678837,0.035435
7,10000000,100000,256,245.774844,0.036254
7,100000000,100,256,1.069800,0.903352
7,100000000,1000,256,error,error
7,100000000,10000,256,error,error
7,100000000,100000,256,error,error
8,100000,100,256,0.468384,0.468164
8,100000,1000,256,0.302914,0.289414
8,100000,10000,256,1.091591,0.121199
8,1000000,100,256,7.414646,7.414385
8,1000000,1000,256,5.203275,5.188457
8,1000000,10000,256,4.385559,3.008118
8,1000000,100000,256,102.576333,1.286447
8,10000000,100,256,111.822863,111.822596
8,10000000,1000,256,86.088205,86.073792
8,10000000,10000,256,62.607549,60.951852
8,10000000,100000,256,null,null
8,100000000,100,256,null,null
8,100000000,1000,256,null,null
8,100000000,10000,256,null,null
8,100000000,100000,256,null,null
